id,_total_events_param,_false_alarm_pct_param,_malicious_count_param,_benign_count_param,_false_alarm_count_param,timestamp,src_host,dst_host,src_ip,dst_ip,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name,_source,phase
18,30,0.15,11,15,4,902.204406220407,external_User1,OpServer0,User1,10.0.3.20,External,Subnet 3 (Operational),tcp,35738,5000,-,0.576987,1546,16,254,252,FIN,2,1,1,1,Generic,Malicious,137281,WannaCry,UNSW_actual,objective
19,30,0.15,11,15,4,1005.8926568387591,external_Enterprise1,OpServer0,Enterprise1,10.0.3.20,External,Subnet 3 (Operational),udp,33345,53,dns,9e-06,114,2,254,0,INT,0,0,7,7,Generic,Malicious,136686,WannaCry,UNSW_actual,objective
20,30,0.15,11,15,4,1108.0943045667782,external_external_166,OpServer0,external_166,10.0.3.20,External,Subnet 3 (Operational),tcp,3415,80,http,0.555413,1906,18,254,252,FIN,2,2,1,1,Exploits,Malicious,117179,WannaCry,UNSW_actual,objective
21,30,0.15,11,15,4,1203.8992558068367,Enterprise0,external_66,10.0.2.10,203.0.38.63,Subnet 2 (Enterprise),External,tcp,51769,25,smtp,1.0,1000,5,31,29,FIN,4,4,5,4,Normal,Benign,584,WannaCry,UNSW_benign,
22,30,0.15,11,15,4,1209.6716376833465,Enterprise0,external_65,10.0.2.10,203.0.229.252,Subnet 2 (Enterprise),External,tcp,40477,16140,dns,0.1,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type1,
23,30,0.15,11,15,4,1293.2876998870688,Enterprise0,external_47,10.0.2.10,203.0.194.1,Subnet 2 (Enterprise),External,tcp,48135,25,smtp,1.0,1000,5,31,29,FIN,18,8,1,2,Normal,Benign,4490,WannaCry,UNSW_benign,
24,30,0.15,11,15,4,1401.9567270675761,Enterprise0,external_92,10.0.2.10,203.0.166.10,Subnet 2 (Enterprise),External,tcp,59591,25,smtp,1.0,1000,5,31,29,FIN,4,4,6,6,Normal,Benign,922,WannaCry,UNSW_benign,
25,30,0.15,11,15,4,1404.1503099107952,User2,external_20,10.0.1.12,203.0.109.52,Subnet 1 (User),External,tcp,19443,3389,rdp,30.0,5000,50,31,29,FIN,6,6,1,5,Normal,Benign,28405,WannaCry,UNSW_benign,
26,30,0.15,11,15,4,1460.3726031366891,User1,external_90,10.0.1.11,203.0.210.98,Subnet 1 (User),External,tcp,19234,25,smtp,1.1970249000000002,175319,350,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type2,
27,30,0.15,11,15,4,1484.749436634746,User4,external_54,10.0.1.14,203.0.174.9,Subnet 1 (User),External,tcp,39642,53,dns,1.1970249000000002,142779,285,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type2,
28,30,0.15,11,15,4,1618.883636992936,Enterprise2,Enterprise0,10.0.2.12,10.0.2.10,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,32382,22,ssh_admin,10.0,200,10,31,29,FIN,7,13,1,2,Normal,Benign,8799,WannaCry,UNSW_benign,
29,30,0.15,11,15,4,1683.4915510996848,Enterprise2,external_50,10.0.2.12,203.0.6.206,Subnet 2 (Enterprise),External,tcp,60467,80,http,0.5,500,5,31,29,CON,0,0,1,2,Normal,Benign,32486,WannaCry,UNSW_benign,
30,30,0.15,11,15,4,1774.3278433240687,User0,User1,10.0.1.10,10.0.1.11,Subnet 1 (User),Subnet 1 (User),udp,1795,53,dns,0.027557,50,1,31,29,FIN,11,15,1,5,Normal,Benign,5202,WannaCry,UNSW_benign,
