id,_total_events_param,_false_alarm_pct_param,_malicious_count_param,_benign_count_param,_false_alarm_count_param,timestamp,src_host,dst_host,src_ip,dst_ip,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name,_source,phase
16,30,0.15,7,19,4,759.7482665666928,User1,external_User3,10.0.1.11,User3,Subnet 1 (User),External,udp,33748,53,dns,9e-06,114,2,254,0,INT,0,0,16,26,Generic,Malicious,172776,Netcat_Backdoor,UNSW_actual,progression
17,30,0.15,7,19,4,908.1741222090483,external_Enterprise0,Enterprise0,Enterprise0,10.0.2.10,External,Subnet 2 (Enterprise),tcp,4991,5000,-,0.597349,6336,48,31,29,FIN,6,6,1,1,Normal,Malicious,4010,Netcat_Backdoor,UNSW_actual,objective
18,30,0.15,7,19,4,1053.3066093306104,external_User0,Enterprise0,User0,10.0.2.10,External,Subnet 2 (Enterprise),tcp,14491,22,ssh,0.012869,25292,132,31,29,FIN,17,17,1,1,Normal,Malicious,39712,Netcat_Backdoor,UNSW_actual,objective
19,30,0.15,7,19,4,1203.8992558068367,User4,external_20,10.0.1.14,203.0.109.52,Subnet 1 (User),External,tcp,44849,80,http,0.5,500,5,31,29,FIN,7,27,1,1,Normal,Benign,37949,Netcat_Backdoor,UNSW_benign,
20,30,0.15,7,19,4,1209.6716376833465,Enterprise0,external_84,10.0.2.10,203.0.20.95,Subnet 2 (Enterprise),External,tcp,33741,57049,smtp,0.1,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type1,
21,30,0.15,7,19,4,1293.2876998870688,User2,User3,10.0.1.12,10.0.1.13,Subnet 1 (User),Subnet 1 (User),tcp,25729,21,ftp,5.0,100000,50,31,29,FIN,18,8,1,2,Normal,Benign,30077,Netcat_Backdoor,UNSW_benign,
22,30,0.15,7,19,4,1401.9567270675761,Enterprise2,Enterprise2,10.0.2.12,10.0.2.12,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,4663,80,http,2.588575,500,5,31,29,FIN,35,33,1,1,Normal,Benign,17092,Netcat_Backdoor,UNSW_benign,
23,30,0.15,7,19,4,1404.1503099107952,User4,external_21,10.0.1.14,203.0.75.165,Subnet 1 (User),External,tcp,61643,80,http,0.5,500,5,254,0,INT,0,0,2,4,Normal,Benign,87847,Netcat_Backdoor,UNSW_benign,
24,30,0.15,7,19,4,1460.3726031366891,Enterprise2,external_52,10.0.2.12,203.0.174.84,Subnet 2 (Enterprise),External,tcp,10089,25,smtp,1.0,165563,331,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type2,
25,30,0.15,7,19,4,1484.749436634746,Enterprise0,external_34,10.0.2.10,203.0.32.127,Subnet 2 (Enterprise),External,tcp,49847,25,smtp,1.0,129773,259,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type2,
26,30,0.15,7,19,4,1553.5594103255453,User4,User3,10.0.1.14,10.0.1.13,Subnet 1 (User),Subnet 1 (User),udp,48119,53,dns,0.205982,50,1,62,252,CON,2,1,4,10,Normal,Benign,100938,Netcat_Backdoor,UNSW_benign,
27,30,0.15,7,19,4,1618.883636992936,User4,external_98,10.0.1.14,203.0.110.185,Subnet 1 (User),External,tcp,65474,22,ssh_admin,10.0,200,10,31,29,FIN,7,28,1,1,Normal,Benign,15502,Netcat_Backdoor,UNSW_benign,
28,30,0.15,7,19,4,1683.4915510996848,Enterprise2,external_100,10.0.2.12,203.0.136.207,Subnet 2 (Enterprise),External,tcp,49997,80,http,0.5,500,5,31,29,FIN,4,4,4,5,Normal,Benign,39377,Netcat_Backdoor,UNSW_benign,
29,30,0.15,7,19,4,1685.658274006696,Enterprise0,external_33,10.0.2.10,203.0.46.65,Subnet 2 (Enterprise),External,tcp,22758,21,ftp,5.0,100000,50,31,29,FIN,3,5,1,1,Normal,Benign,32673,Netcat_Backdoor,UNSW_benign,
30,30,0.15,7,19,4,1774.3278433240687,User4,external_83,10.0.1.14,203.0.205.182,Subnet 1 (User),External,tcp,17047,3389,rdp,30.0,5000,50,31,29,FIN,4,4,4,5,Normal,Benign,286,Netcat_Backdoor,UNSW_benign,
